icb_ons_code,appointment_month,appointment_status,hcp_type,appointment_mode,time_between_book_and_appointment,count_of_appointments
E54000048,2-22,Unknown,Unknown,Home Visit,2 to 7 Days,3
E54000051,4-22,Unknown,GP,Video/Online,8  to 14 Days,1
E54000061,11-21,Unknown,Unknown,Face-to-Face,8  to 14 Days,16
E54000029,11-20,DNA,Other Practice staff,Telephone,1 Day,647
E54000057,7-20,Unknown,GP,Unknown,2 to 7 Days,421
E54000010,3-20,DNA,Other Practice staff,Face-to-Face,More than 28 Days,94
E54000060,9-21,Attended,Other Practice staff,Video/Online,8  to 14 Days,579
E54000008,7-20,DNA,Other Practice staff,Face-to-Face,22  to 28 Days,174
E54000054,3-20,Unknown,Other Practice staff,Home Visit,Same Day,140
E54000034,3-21,Unknown,Unknown,Face-to-Face,Same Day,66
E54000057,6-20,DNA,Other Practice staff,Face-to-Face,1 Day,121
E54000050,2-22,DNA,GP,Telephone,More than 28 Days,2
E54000029,4-22,Attended,GP,Telephone,Same Day,114038
E54000025,4-20,Attended,GP,Face-to-Face,Unknown / Data Quality,54
E54000051,2-20,Attended,Unknown,Telephone,1 Day,2
E54000054,12-20,DNA,Other Practice staff,Home Visit,1 Day,2
E54000042,6-22,Attended,Other Practice staff,Face-to-Face,1 Day,16520
E54000057,11-20,DNA,Other Practice staff,Face-to-Face,More than 28 Days,101
E54000057,4-20,Attended,Other Practice staff,Video/Online,22  to 28 Days,18
E54000008,7-21,Attended,GP,Home Visit,8  to 14 Days,4
E54000026,12-21,Attended,GP,Telephone,8  to 14 Days,1891
E54000048,2-22,Unknown,Other Practice staff,Video/Online,2 to 7 Days,6
E54000027,5-22,Attended,GP,Telephone,22  to 28 Days,3862
E54000054,1-22,Unknown,Unknown,Unknown,Same Day,22
E54000032,7-21,Attended,Unknown,Face-to-Face,8  to 14 Days,354
E54000042,2-20,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,24592
E54000010,10-20,Unknown,GP,Face-to-Face,Same Day,47
E54000061,9-21,Unknown,GP,Telephone,22  to 28 Days,21
E54000050,5-22,Attended,GP,Telephone,2 to 7 Days,7812
E54000057,2-21,Attended,Other Practice staff,Video/Online,2 to 7 Days,1
E54000055,3-20,Attended,Unknown,Telephone,1 Day,153
E54000052,3-20,DNA,GP,Face-to-Face,Same Day,1943
E54000018,2-22,Attended,Other Practice staff,Home Visit,More than 28 Days,11
E54000019,1-21,Attended,Unknown,Telephone,Same Day,831
E54000058,1-21,Unknown,Other Practice staff,Face-to-Face,Unknown / Data Quality,11
E54000026,8-20,Attended,GP,Telephone,More than 28 Days,212
E54000026,12-21,DNA,GP,Telephone,8  to 14 Days,20
E54000051,2-21,Unknown,Other Practice staff,Face-to-Face,Same Day,396
E54000023,6-22,Attended,Unknown,Unknown,22  to 28 Days,268
E54000044,11-21,DNA,Other Practice staff,Face-to-Face,Unknown / Data Quality,2
E54000013,4-21,DNA,Unknown,Telephone,Same Day,9
E54000057,12-20,DNA,Other Practice staff,Video/Online,More than 28 Days,2
E54000050,2-21,Unknown,Unknown,Home Visit,Same Day,75
E54000048,2-21,Attended,Other Practice staff,Face-to-Face,More than 28 Days,1034
E54000029,1-20,Unknown,Other Practice staff,Home Visit,Same Day,264
E54000053,9-21,Attended,Unknown,Home Visit,2 to 7 Days,3
E54000057,10-20,DNA,GP,Telephone,15  to 21 Days,5
E54000040,9-20,Attended,Other Practice staff,Face-to-Face,More than 28 Days,13642
E54000030,3-21,Attended,GP,Unknown,2 to 7 Days,7451
E54000061,5-21,Attended,GP,Video/Online,Same Day,292
E54000053,8-21,Attended,Unknown,Unknown,2 to 7 Days,1041
E54000040,7-21,Attended,GP,Home Visit,2 to 7 Days,28
E54000062,3-21,Unknown,Other Practice staff,Video/Online,8  to 14 Days,1
E54000050,1-22,Attended,GP,Face-to-Face,8  to 14 Days,3707
E54000057,9-20,Attended,Other Practice staff,Home Visit,2 to 7 Days,288
E54000023,6-22,Attended,Other Practice staff,Video/Online,Same Day,367
E54000057,12-21,DNA,Unknown,Face-to-Face,1 Day,3
E54000026,2-22,DNA,GP,Telephone,Same Day,24
E54000062,8-20,Attended,Unknown,Telephone,Same Day,386
E54000008,5-20,Attended,GP,Telephone,2 to 7 Days,1044
E54000027,4-21,Attended,Unknown,Video/Online,1 Day,2
E54000026,8-20,Unknown,Other Practice staff,Telephone,Unknown / Data Quality,1
E54000050,2-21,Unknown,Other Practice staff,Telephone,8  to 14 Days,184
E54000024,7-20,Unknown,Other Practice staff,Face-to-Face,22  to 28 Days,1620
E54000008,12-21,DNA,Unknown,Telephone,2 to 7 Days,2
E54000057,3-22,DNA,GP,Home Visit,Same Day,3
E54000055,7-21,DNA,Other Practice staff,Telephone,8  to 14 Days,225
E54000057,3-22,Unknown,Unknown,Face-to-Face,More than 28 Days,22
E54000023,2-20,Attended,Other Practice staff,Video/Online,8  to 14 Days,95
E54000048,9-21,DNA,Other Practice staff,Home Visit,2 to 7 Days,4
E54000008,6-22,DNA,Unknown,Home Visit,Same Day,5
E54000025,4-20,Unknown,Unknown,Telephone,2 to 7 Days,11
E54000015,3-21,Attended,Unknown,Unknown,Same Day,9163
E54000060,10-21,DNA,GP,Telephone,More than 28 Days,5
E54000022,7-20,Attended,GP,Face-to-Face,Same Day,53160
E54000026,8-21,Unknown,Unknown,Unknown,22  to 28 Days,30
E54000055,3-20,DNA,Unknown,Home Visit,2 to 7 Days,1
E54000057,3-21,DNA,GP,Face-to-Face,15  to 21 Days,7
E54000034,4-21,Attended,Unknown,Home Visit,1 Day,4
E54000053,10-21,Attended,GP,Video/Online,22  to 28 Days,1
E54000050,1-22,DNA,GP,Face-to-Face,15  to 21 Days,40
E54000044,3-21,Attended,Other Practice staff,Telephone,22  to 28 Days,408
E54000052,11-20,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,17821
E54000052,12-21,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,25539
E54000060,1-20,DNA,Other Practice staff,Home Visit,2 to 7 Days,13
E54000023,12-20,DNA,GP,Telephone,2 to 7 Days,45
E54000026,1-20,DNA,GP,Video/Online,8  to 14 Days,41
E54000026,11-20,Attended,Other Practice staff,Home Visit,8  to 14 Days,10
E54000026,3-21,Unknown,GP,Telephone,Same Day,22
E54000038,11-20,Unknown,Unknown,Home Visit,8  to 14 Days,2
E54000028,11-20,DNA,GP,Face-to-Face,More than 28 Days,114
E54000048,5-21,Unknown,GP,Video/Online,Same Day,6
E54000028,6-20,Attended,GP,Unknown,More than 28 Days,19
E54000038,12-20,DNA,Other Practice staff,Unknown,1 Day,28
E54000025,3-22,Unknown,GP,Telephone,15  to 21 Days,112
E54000039,4-21,DNA,GP,Telephone,More than 28 Days,20
E54000008,5-21,Unknown,GP,Video/Online,Same Day,1
E54000008,4-21,Attended,Other Practice staff,Home Visit,More than 28 Days,1
E54000057,11-20,Attended,GP,Video/Online,22  to 28 Days,1
E54000044,1-21,Attended,GP,Home Visit,Same Day,536
E54000026,10-20,DNA,Unknown,Unknown,2 to 7 Days,63
E54000050,6-22,DNA,GP,Video/Online,22  to 28 Days,3
E54000050,3-20,DNA,GP,Face-to-Face,22  to 28 Days,173
E54000037,3-21,Unknown,GP,Video/Online,Same Day,1
E54000030,10-20,DNA,Unknown,Telephone,1 Day,6
E54000062,1-20,Attended,Unknown,Home Visit,More than 28 Days,5
E54000061,12-20,Unknown,Other Practice staff,Telephone,22  to 28 Days,18
E54000010,4-22,Attended,Other Practice staff,Video/Online,2 to 7 Days,36
E54000018,3-21,DNA,Unknown,Telephone,2 to 7 Days,9
E54000057,12-21,Unknown,Other Practice staff,Home Visit,8  to 14 Days,19
E54000059,6-22,DNA,Unknown,Unknown,15  to 21 Days,34
E54000027,5-22,DNA,Other Practice staff,Video/Online,15  to 21 Days,15
E54000056,8-20,Attended,Other Practice staff,Video/Online,2 to 7 Days,847
E54000008,3-22,DNA,Unknown,Face-to-Face,More than 28 Days,1
E54000036,1-21,Attended,GP,Video/Online,2 to 7 Days,1
E54000023,4-22,Unknown,GP,Telephone,2 to 7 Days,81
E54000010,6-21,Unknown,GP,Telephone,More than 28 Days,7
E54000058,8-21,Unknown,Other Practice staff,Face-to-Face,More than 28 Days,1882
E54000034,9-21,DNA,Other Practice staff,Telephone,15  to 21 Days,70
E54000056,2-20,Unknown,Other Practice staff,Home Visit,8  to 14 Days,12
E54000008,5-22,Attended,GP,Face-to-Face,15  to 21 Days,2384
E54000057,9-21,Unknown,Unknown,Home Visit,More than 28 Days,1
E54000008,9-20,Unknown,Other Practice staff,Home Visit,8  to 14 Days,1
E54000050,2-22,Attended,Other Practice staff,Unknown,22  to 28 Days,71
E54000044,1-20,Attended,Other Practice staff,Telephone,Unknown / Data Quality,4
E54000061,1-20,Unknown,Unknown,Face-to-Face,More than 28 Days,47
E54000038,5-21,DNA,Unknown,Telephone,Same Day,177
E54000024,4-20,DNA,GP,Telephone,More than 28 Days,1
E54000048,12-20,Attended,GP,Home Visit,15  to 21 Days,7
E54000050,11-21,Unknown,GP,Unknown,Same Day,27
E54000028,3-22,Attended,GP,Home Visit,More than 28 Days,1
E54000053,1-21,Unknown,Unknown,Home Visit,Same Day,12
E54000056,1-20,Unknown,Unknown,Unknown,Unknown / Data Quality,1
E54000011,12-20,Unknown,Other Practice staff,Face-to-Face,2 to 7 Days,650
E54000053,2-20,DNA,Other Practice staff,Telephone,Same Day,222
E54000048,4-20,DNA,GP,Face-to-Face,More than 28 Days,4
E54000057,4-21,Unknown,Other Practice staff,Face-to-Face,1 Day,140
E54000053,8-20,Attended,Unknown,Face-to-Face,Same Day,104
E54000013,2-20,Unknown,GP,Video/Online,15  to 21 Days,25
E54000044,2-21,Attended,GP,Video/Online,1 Day,4
E54000010,11-21,Unknown,Other Practice staff,Video/Online,Same Day,3
E54000008,12-21,DNA,Unknown,Telephone,2 to 7 Days,162
E54000015,1-20,Attended,Other Practice staff,Unknown,22  to 28 Days,251
E54000051,5-20,DNA,Unknown,Unknown,15  to 21 Days,1
E54000034,7-21,Attended,Other Practice staff,Telephone,More than 28 Days,522
E54000057,9-20,DNA,GP,Home Visit,Same Day,3
E54000060,10-21,DNA,GP,Home Visit,Same Day,3
E54000039,8-21,DNA,Other Practice staff,Face-to-Face,2 to 7 Days,3166
E54000048,10-21,DNA,GP,Telephone,8  to 14 Days,14
E54000057,1-21,Attended,Unknown,Telephone,22  to 28 Days,1
E54000041,3-20,DNA,Unknown,Unknown,1 Day,33
E54000008,6-20,Attended,Unknown,Telephone,1 Day,31
E54000010,7-21,Attended,Other Practice staff,Video/Online,8  to 14 Days,2
E54000048,3-20,DNA,Other Practice staff,Face-to-Face,22  to 28 Days,171
E54000023,12-21,Unknown,GP,Home Visit,8  to 14 Days,2
E54000057,9-21,DNA,Unknown,Home Visit,1 Day,4
E54000060,5-21,Unknown,Other Practice staff,Face-to-Face,8  to 14 Days,125
E54000032,11-20,Attended,GP,Face-to-Face,15  to 21 Days,3504
E54000008,1-22,Attended,GP,Home Visit,2 to 7 Days,10
E54000010,11-21,Attended,Other Practice staff,Home Visit,More than 28 Days,3
E54000057,9-20,Attended,Other Practice staff,Unknown,2 to 7 Days,983
E54000013,8-21,DNA,Unknown,Unknown,1 Day,31
E54000057,4-22,Unknown,Unknown,Home Visit,Same Day,11
E54000050,11-20,DNA,GP,Face-to-Face,1 Day,71
E54000008,1-22,DNA,Other Practice staff,Telephone,More than 28 Days,2
E54000042,11-21,DNA,Other Practice staff,Telephone,8  to 14 Days,360
E54000060,9-21,DNA,Other Practice staff,Home Visit,2 to 7 Days,26
E54000008,6-20,DNA,GP,Telephone,22  to 28 Days,2
E54000038,3-20,DNA,Other Practice staff,Home Visit,More than 28 Days,1
E54000008,9-20,Attended,Other Practice staff,Telephone,1 Day,920
E54000041,2-21,Unknown,Other Practice staff,Face-to-Face,2 to 7 Days,2105
E54000008,9-21,DNA,Other Practice staff,Home Visit,1 Day,1
E54000057,5-21,Attended,GP,Home Visit,Same Day,266
E54000057,12-21,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,2235
E54000057,2-20,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,778
E54000050,2-20,Attended,Other Practice staff,Unknown,Same Day,601
E54000010,12-20,Unknown,Unknown,Telephone,1 Day,2
E54000030,12-20,Unknown,Other Practice staff,Telephone,22  to 28 Days,88
E54000023,2-21,DNA,GP,Face-to-Face,8  to 14 Days,386
E54000026,2-20,Unknown,Unknown,Unknown,22  to 28 Days,25
E54000061,2-22,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,6656
E54000044,3-22,DNA,Other Practice staff,Telephone,1 Day,181
E54000034,5-20,DNA,GP,Face-to-Face,15  to 21 Days,10
E54000037,7-21,Attended,Unknown,Unknown,Same Day,11864
E54000025,2-22,DNA,GP,Face-to-Face,Same Day,858
E54000048,8-21,Attended,Other Practice staff,Face-to-Face,Unknown / Data Quality,2
E54000054,6-22,Unknown,GP,Face-to-Face,22  to 28 Days,259
E54000048,2-20,Unknown,Other Practice staff,Home Visit,2 to 7 Days,35
E54000061,10-20,Unknown,Unknown,Unknown,2 to 7 Days,50
E54000036,4-22,DNA,GP,Telephone,8  to 14 Days,66
E54000026,6-22,Attended,GP,Video/Online,22  to 28 Days,147
E54000051,5-22,DNA,GP,Telephone,1 Day,19
E54000050,3-21,Attended,Other Practice staff,Home Visit,2 to 7 Days,43
E54000057,1-20,Attended,GP,Telephone,8  to 14 Days,608
E54000054,1-21,DNA,Other Practice staff,Telephone,8  to 14 Days,59
E54000010,10-21,Attended,Unknown,Face-to-Face,22  to 28 Days,24
E54000057,1-22,Unknown,Unknown,Telephone,Same Day,17
E54000057,6-21,Unknown,Unknown,Home Visit,Unknown / Data Quality,1
E54000051,3-22,Unknown,Unknown,Face-to-Face,Unknown / Data Quality,1
E54000053,1-20,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,16069
E54000023,2-22,Attended,GP,Video/Online,Same Day,13
E54000054,7-20,DNA,Other Practice staff,Home Visit,2 to 7 Days,7
E54000043,2-20,Unknown,GP,Unknown,2 to 7 Days,95
E54000026,3-21,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,799
E54000061,1-20,Attended,GP,Video/Online,8  to 14 Days,633
E54000053,4-22,Unknown,GP,Video/Online,1 Day,1
E54000010,7-20,Unknown,GP,Telephone,More than 28 Days,2
E54000030,8-20,Attended,GP,Telephone,2 to 7 Days,34483
E54000008,1-21,Unknown,GP,Home Visit,Same Day,1
E54000054,7-20,Unknown,Other Practice staff,Telephone,Same Day,1624
E54000024,8-21,Attended,Other Practice staff,Telephone,22  to 28 Days,918
E54000037,4-21,DNA,GP,Telephone,Unknown / Data Quality,2
E54000008,1-20,DNA,GP,Face-to-Face,2 to 7 Days,1548
E54000050,8-20,DNA,Unknown,Unknown,1 Day,10
E54000057,5-20,Unknown,Other Practice staff,Telephone,2 to 7 Days,176
E54000062,10-21,DNA,Unknown,Unknown,More than 28 Days,7
E54000040,3-20,Attended,Other Practice staff,Telephone,15  to 21 Days,551
E54000062,6-21,Attended,GP,Unknown,Same Day,13
E54000026,4-20,Unknown,Other Practice staff,Face-to-Face,Same Day,360
E54000032,5-22,Attended,Other Practice staff,Telephone,More than 28 Days,1284
E54000050,6-20,Attended,GP,Telephone,22  to 28 Days,68
E54000057,3-20,Attended,GP,Home Visit,Same Day,286
E54000015,1-20,Attended,Other Practice staff,Telephone,More than 28 Days,76
E54000048,8-20,DNA,Unknown,Home Visit,Same Day,6
E54000051,10-21,DNA,GP,Telephone,8  to 14 Days,6
E54000057,2-22,DNA,Other Practice staff,Telephone,2 to 7 Days,101
E54000040,6-20,DNA,GP,Face-to-Face,2 to 7 Days,270
E54000048,3-21,Unknown,Unknown,Face-to-Face,Same Day,1383
E54000062,11-21,Attended,GP,Home Visit,8  to 14 Days,36
E54000013,1-21,Unknown,Other Practice staff,Home Visit,8  to 14 Days,13
E54000008,6-20,Unknown,GP,Telephone,8  to 14 Days,90
E54000060,6-22,DNA,GP,Telephone,8  to 14 Days,117
E54000023,5-22,DNA,GP,Face-to-Face,Same Day,160
E54000023,6-20,Attended,Unknown,Face-to-Face,1 Day,4
E54000030,3-22,Attended,Other Practice staff,Video/Online,15  to 21 Days,8
E54000019,12-21,DNA,GP,Telephone,8  to 14 Days,191
E54000052,11-21,DNA,Other Practice staff,Video/Online,More than 28 Days,1
E54000008,12-21,Unknown,Other Practice staff,Telephone,15  to 21 Days,275
E54000055,5-20,Unknown,Other Practice staff,Video/Online,2 to 7 Days,6
E54000039,5-20,Attended,GP,Unknown,15  to 21 Days,23
E54000054,12-20,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,16859
E54000029,4-20,Attended,Unknown,Unknown,1 Day,28
E54000061,11-20,Unknown,GP,Home Visit,2 to 7 Days,5
E54000057,10-20,Unknown,GP,Telephone,22  to 28 Days,22
E54000010,5-22,Attended,Unknown,Face-to-Face,15  to 21 Days,30
E54000050,7-20,Unknown,GP,Home Visit,22  to 28 Days,3
E54000054,9-21,Attended,Unknown,Unknown,More than 28 Days,123
E54000050,3-20,DNA,Unknown,Home Visit,Same Day,1
E54000051,4-20,Attended,Unknown,Unknown,1 Day,58
E54000011,12-21,Attended,Other Practice staff,Home Visit,2 to 7 Days,91
E54000022,1-20,DNA,GP,Face-to-Face,2 to 7 Days,1296
E54000023,12-21,Unknown,GP,Home Visit,1 Day,4
E54000058,4-21,Attended,Unknown,Face-to-Face,Same Day,884
E54000050,12-21,DNA,Other Practice staff,Telephone,22  to 28 Days,34
E54000061,3-22,DNA,Other Practice staff,Video/Online,15  to 21 Days,11
E54000051,1-21,Unknown,Unknown,Unknown,15  to 21 Days,132
E54000023,8-21,Unknown,Unknown,Unknown,15  to 21 Days,24
E54000050,11-21,DNA,GP,Unknown,Same Day,2
E54000050,5-21,Unknown,Other Practice staff,Face-to-Face,22  to 28 Days,207
E54000056,3-22,DNA,Other Practice staff,Video/Online,2 to 7 Days,47
E54000043,5-22,Unknown,GP,Telephone,15  to 21 Days,107
E54000061,3-22,Attended,Other Practice staff,Video/Online,1 Day,148
E54000023,2-21,DNA,Other Practice staff,Video/Online,1 Day,1
E54000042,3-20,Attended,GP,Home Visit,8  to 14 Days,33
E54000057,1-22,DNA,GP,Face-to-Face,Same Day,1187
E54000054,2-21,Unknown,Other Practice staff,Telephone,Unknown / Data Quality,8
E54000025,5-21,Unknown,Other Practice staff,Home Visit,2 to 7 Days,21
E54000026,4-20,Attended,Other Practice staff,Home Visit,More than 28 Days,2
E54000054,7-20,Attended,Other Practice staff,Telephone,2 to 7 Days,9160
E54000039,3-22,Attended,Unknown,Home Visit,8  to 14 Days,5
E54000038,2-20,Attended,GP,Face-to-Face,Same Day,32140
E54000061,11-21,DNA,Other Practice staff,Home Visit,Same Day,8
E54000008,11-21,Attended,GP,Telephone,1 Day,1891
E54000057,9-21,DNA,Unknown,Face-to-Face,2 to 7 Days,2
E54000048,12-20,Attended,Unknown,Telephone,8  to 14 Days,6
E54000008,9-21,Unknown,GP,Telephone,22  to 28 Days,39
E54000011,11-21,Unknown,Unknown,Telephone,Same Day,6
E54000048,10-21,Attended,GP,Face-to-Face,Same Day,8972
E54000057,7-21,Attended,Unknown,Face-to-Face,22  to 28 Days,8
E54000048,12-21,Attended,GP,Home Visit,Same Day,309
E54000062,3-21,DNA,Unknown,Home Visit,8  to 14 Days,41
E54000060,11-21,DNA,Other Practice staff,Home Visit,1 Day,1
E54000029,11-21,DNA,Other Practice staff,Home Visit,2 to 7 Days,25
E54000010,4-20,Unknown,GP,Telephone,2 to 7 Days,46
E54000037,1-20,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,2011
E54000057,1-22,Unknown,Other Practice staff,Telephone,8  to 14 Days,113
E54000015,12-20,Attended,Unknown,Unknown,Unknown / Data Quality,1
E54000061,5-20,Attended,GP,Telephone,More than 28 Days,27
E54000041,6-20,Unknown,Other Practice staff,Home Visit,8  to 14 Days,7
E54000060,12-21,Attended,GP,Telephone,Unknown / Data Quality,5
E54000034,3-22,Unknown,Other Practice staff,Face-to-Face,1 Day,111
E54000057,11-20,Attended,Other Practice staff,Home Visit,Same Day,210
E54000008,11-20,Attended,GP,Face-to-Face,15  to 21 Days,191
E54000008,2-20,Unknown,Other Practice staff,Face-to-Face,Same Day,1115
E54000030,3-20,Unknown,Other Practice staff,Face-to-Face,1 Day,264
E54000029,6-21,Unknown,GP,Home Visit,8  to 14 Days,14
E54000025,8-21,Attended,Other Practice staff,Unknown,Same Day,147
E54000057,10-21,Attended,GP,Unknown,Same Day,67
E54000019,5-22,DNA,GP,Telephone,1 Day,124
E54000015,10-21,Unknown,Other Practice staff,Home Visit,15  to 21 Days,1
E54000025,6-22,DNA,GP,Telephone,Same Day,68
E54000010,4-20,Attended,Other Practice staff,Telephone,1 Day,1325
E54000010,4-22,DNA,Unknown,Telephone,1 Day,1
E54000010,2-20,Unknown,GP,Telephone,22  to 28 Days,5
E54000053,7-21,Attended,Other Practice staff,Face-to-Face,Same Day,15071
E54000030,1-21,Unknown,GP,Unknown,2 to 7 Days,355
E54000048,3-20,Unknown,GP,Home Visit,2 to 7 Days,8
E54000052,4-21,Attended,GP,Video/Online,8  to 14 Days,5
E54000042,4-22,Attended,GP,Video/Online,Same Day,1530
E54000057,1-21,DNA,GP,Telephone,More than 28 Days,19
E54000034,3-20,Unknown,GP,Unknown,8  to 14 Days,22
E54000044,2-22,Attended,Other Practice staff,Telephone,Same Day,12381
E54000057,6-22,DNA,Other Practice staff,Home Visit,15  to 21 Days,5
E54000061,3-20,Attended,Other Practice staff,Telephone,Same Day,4990
E54000060,1-20,Attended,GP,Telephone,More than 28 Days,463
E54000026,1-22,DNA,Other Practice staff,Telephone,2 to 7 Days,30
E54000008,1-21,DNA,Unknown,Telephone,Same Day,1
E54000053,4-20,Attended,Unknown,Unknown,Same Day,221
E54000026,12-20,Attended,Unknown,Unknown,1 Day,380
E54000023,1-21,Unknown,Unknown,Face-to-Face,2 to 7 Days,26
E54000044,7-20,Unknown,Other Practice staff,Home Visit,1 Day,31
E54000022,10-21,Unknown,Unknown,Home Visit,8  to 14 Days,3
E54000057,5-22,DNA,Unknown,Face-to-Face,Unknown / Data Quality,1
E54000061,11-20,Attended,GP,Telephone,22  to 28 Days,1125
E54000051,4-20,DNA,Other Practice staff,Face-to-Face,Same Day,94
E54000052,10-21,Unknown,Other Practice staff,Face-to-Face,Unknown / Data Quality,12
E54000029,7-20,Attended,Other Practice staff,Unknown,Same Day,407
E54000026,7-20,DNA,Other Practice staff,Face-to-Face,More than 28 Days,7
E54000051,4-22,Unknown,GP,Face-to-Face,15  to 21 Days,115
E54000039,1-22,Unknown,GP,Home Visit,Same Day,236
E54000025,9-21,Unknown,Unknown,Face-to-Face,15  to 21 Days,5
E54000036,10-20,DNA,GP,Telephone,More than 28 Days,6
E54000054,5-21,DNA,Other Practice staff,Telephone,1 Day,15
E54000026,4-22,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,252
E54000008,5-20,DNA,GP,Face-to-Face,More than 28 Days,5
E54000023,5-22,Attended,Other Practice staff,Telephone,Same Day,14320
E54000057,10-20,Unknown,Other Practice staff,Home Visit,Unknown / Data Quality,1
E54000026,9-20,Attended,Unknown,Unknown,2 to 7 Days,338
E54000044,3-20,Unknown,Other Practice staff,Home Visit,8  to 14 Days,13
E54000054,2-20,Attended,GP,Video/Online,1 Day,156
E54000023,1-20,Unknown,GP,Telephone,22  to 28 Days,30
E54000041,12-20,Attended,Unknown,Unknown,1 Day,1383
E54000010,10-20,DNA,Unknown,Telephone,2 to 7 Days,5
E54000023,6-22,Unknown,Other Practice staff,Telephone,8  to 14 Days,90
E54000015,3-21,DNA,GP,Video/Online,15  to 21 Days,1
E54000048,5-20,DNA,GP,Telephone,22  to 28 Days,5
E54000010,1-22,Unknown,GP,Face-to-Face,1 Day,83
E54000051,11-21,Unknown,Unknown,Unknown,2 to 7 Days,60
E54000062,4-20,Unknown,Unknown,Home Visit,More than 28 Days,4
E54000048,8-21,DNA,GP,Telephone,Same Day,107
E54000050,12-20,DNA,GP,Face-to-Face,8  to 14 Days,60
E54000060,4-21,Unknown,GP,Home Visit,1 Day,5
E54000036,5-22,Attended,Other Practice staff,Home Visit,Same Day,223
E54000027,3-21,DNA,GP,Face-to-Face,15  to 21 Days,243
E54000051,6-20,Attended,GP,Video/Online,Same Day,10
E54000051,1-20,DNA,GP,Face-to-Face,2 to 7 Days,194
E54000010,4-22,Unknown,GP,Video/Online,22  to 28 Days,6
E54000051,8-20,DNA,Other Practice staff,Video/Online,15  to 21 Days,1
E54000030,8-21,Attended,GP,Unknown,15  to 21 Days,352
E54000061,5-21,Unknown,GP,Telephone,Unknown / Data Quality,1
E54000057,7-21,DNA,Other Practice staff,Face-to-Face,15  to 21 Days,1084
E54000054,2-20,Attended,Other Practice staff,Home Visit,More than 28 Days,2
E54000034,8-20,Unknown,Other Practice staff,Face-to-Face,1 Day,50
E54000050,6-22,Unknown,Other Practice staff,Telephone,Unknown / Data Quality,13
E54000057,10-21,Attended,GP,Face-to-Face,1 Day,2217
E54000061,7-21,Attended,Unknown,Home Visit,15  to 21 Days,4
E54000015,10-20,Unknown,GP,Telephone,8  to 14 Days,94
E54000023,8-21,Attended,Unknown,Unknown,22  to 28 Days,113
E54000034,2-22,DNA,GP,Home Visit,1 Day,5
E54000008,11-20,Unknown,Other Practice staff,Face-to-Face,2 to 7 Days,665
E54000015,1-21,Attended,Other Practice staff,Video/Online,22  to 28 Days,2
E54000022,5-22,DNA,GP,Video/Online,8  to 14 Days,4
